,AAPL,MSFT,AMZN,PLTR,ORCL,HOOD,VOO,NVDA
1999-11-01,0.582526743137377,28.3254724808089,3.4565,,10.2786594926337,,,0.0448957747463984
1999-11-02,0.602264508332575,28.3837364168418,3.322,,10.6420971500212,,,0.0477614624961685
1999-11-03,0.611645575440559,28.2120111316923,3.2905,,11.5075205220323,,,0.0524229812357946
1999-11-04,0.6275558652557,28.1353480579649,3.153,,11.6842194935798,,,0.0557662836105263
1999-11-05,0.662753629044856,28.0770841219321,3.247,,11.7846166365046,,,0.0539704526206704
1999-11-08,0.723242749757137,27.5803074041783,3.9,,11.9352123508917,,,0.0555179240055463
1999-11-09,0.672584987374023,27.252189448625,3.5405,,11.7344180650422,,,0.0546964268506122
1999-11-10,0.686243821083248,26.715547932533,3.6,,11.822767550816,,,0.0542188122256505
1999-11-11,0.692322752569222,27.4821786698072,3.65,,12.4612933798172,,,0.058039729225344
1999-11-12,0.680089841060411,27.3503181829961,3.747,,13.0777318373751,,,0.0611346719950957
1999-11-15,0.671234113710474,26.6787496571438,3.675,,12.8628819515162,,,0.0599501877251907
1999-11-16,0.684367607661651,26.7738118685658,3.947,,12.9512314372899,,,0.0656815632247309
1999-11-17,0.677313045196447,26.0654450673244,3.825,,14.0174490951505,,,0.0681842638595302
1999-11-18,0.672584987374023,26.0470459296298,3.897,,14.8969280671711,,,0.0684135188795118
1999-11-19,0.693748674769635,26.3720973622341,3.897,,15.2864689817191,,,0.0819204604734282
1999-11-22,0.680089841060411,27.5404426058401,4.025,,15.5495094961819,,,0.0817867283784389
1999-11-23,0.696525470633599,27.4821786698072,4.0875,,14.758380009935,,,0.0759407253689079
1999-11-24,0.710634595564007,28.1169489202703,4.3625,,14.4190376668494,,,0.0735526522440995
1999-11-26,0.71341139142797,27.9421571121718,4.6565,,14.7844832670954,,,0.0730750376191378
1999-11-29,0.709658964584776,27.6569704779058,4.522,,14.5696333812365,,,0.0704577094743478
1999-11-30,0.734500030286718,27.9206914515281,4.253,,13.6158605234516,,,0.0661591778496926
1999-12-01,0.773450220919068,28.5769273626349,4.25,,14.194148066698,,,0.0695024802244244
1999-12-02,0.826959827703009,29.0737040803886,4.453,,15.2483180674077,,,0.0746225090040137
1999-12-03,0.863058173934531,29.4754185867203,4.328,,15.8005023534937,,,0.0728457825991562
1999-12-06,0.870563027620918,29.2668950261817,4.369,,15.7503037820313,,,0.0748708686089937
1999-12-07,0.884146812793279,28.518663426602,4.303,,15.9129471535694,,,0.0723681679741945
1999-12-08,0.825984196723778,28.1353480579649,4.4,,15.2864689817191,,,0.075577738253937
1999-12-09,0.789885850492256,28.4420003528746,5.18,,15.7743990963333,,,0.0733233972241179
1999-12-10,0.772999929697884,28.7854509231735,5.335,,16.9932204114395,,,0.0724827954841853
1999-12-13,0.742980514952336,29.6287447341751,5.125,,16.0253919536451,,,0.0722344358792052
1999-12-14,0.711985469227556,30.2635149846382,4.7815,,15.4491123532571,,,0.0710499516093003
1999-12-15,0.727970807579561,33.2533748600078,4.825,,18.1477875550738,,,0.0687765059944826
1999-12-16,0.737802165908728,34.8632994082837,4.744,,17.9831362406773,,,0.068298891369521
1999-12-17,0.750485368638723,35.3416769883428,4.703,,18.2100337836872,,,0.0718905533492328
1999-12-20,0.735475661265948,34.5750462510686,4.85,,19.3384976701611,,,0.0778511838687547
1999-12-21,0.769247502854691,35.5318014111868,4.994,,19.6155937846334,,,0.0811944862434864
1999-12-22,0.75003507741754,36.0500437895842,4.8845,,21.1034794427778,,,0.0831049447433332
1999-12-23,0.776752356541078,36.0132455141951,4.5,,21.424750300137,,,0.0886070652228918
1999-12-27,0.745307019595116,36.5284213696434,4.0565,,20.9629234426832,,,0.08526376284816
1999-12-28,0.736901583466362,36.0316446518896,4.1155,,21.3042737286273,,,0.0850154032431799
1999-12-29,0.75566371768233,36.1665716616499,4.175,,22.0873714434402,,,0.08788109099295
1999-12-30,0.752811873281503,36.0684429272788,3.953,,22.3684834436294,,,0.0886070652228918
1999-12-31,0.771574007497471,35.8016554307074,3.8065,,22.509039443724,,,0.089676921982806
2000-01-03,0.840093321654186,35.7433914946745,4.469,,23.7138051588208,,,0.0894285623778259
2000-01-04,0.769247502854691,34.5351814527303,4.097,,21.6255445859864,,,0.0870404892530175
2000-01-05,0.780504783384272,34.9000976836729,3.5875,,20.7822085854187,,,0.0844231611082274
2000-01-06,0.712961100206787,33.7317524400669,3.278,,19.2762514415478,,,0.0786917856086872
2000-01-07,0.746732941795529,34.1733317447369,3.478,,20.7621291568338,,,0.0800100019735815
2000-01-10,0.733599447844351,34.4217201036137,3.4595,,23.251978301367,,,0.0826273301183715
2000-01-11,0.696075179412415,33.5385614942738,3.3375,,22.5692777294789,,,0.0792840277436397
2000-01-12,0.654348192916102,32.4468793243953,3.178,,21.2038765857026,,,0.0772589417338022
2000-01-13,0.726094594157964,33.0601839142147,3.297,,21.1034794427778,,,0.0804876165985432
2000-01-14,0.753787504260733,34.4217201036137,3.2125,,21.4448297287219,,,0.0839455464832658
2000-01-18,0.780054492163088,35.3600761260374,3.2065,,22.3484040150445,,,0.0875181038779792
2000-01-19,0.799717208821423,32.8117955553378,3.3405,,22.9427551011588,,,0.0866966067230451
2000-01-20,0.85180089340495,32.5051432604281,3.2375,,23.7941228731605,,,0.086448247118065
2000-01-21,0.835365263831762,31.8151755968813,3.103,,23.9708218447081,,,0.0854930178681416
2000-01-24,0.797390704178643,31.048544859607,3.5065,,21.762084700364,,,0.0816721008684481
2000-01-25,0.842419826296966,31.5269224396662,3.4625,,22.6656589866866,,,0.0809652312235049
2000-01-26,0.826959827703009,30.4720385451768,3.2405,,22.1114667577421,,,0.0776219288487731
2000-01-27,0.825533905502595,30.2819141223328,3.347,,20.8063038997206,,,0.0735526522440995
2000-01-28,0.76264323161067,30.1285879748779,3.0845,,19.0272665270945,,,0.0714129387242712
2000-01-31,0.778628569962675,30.0120601028123,3.228,,20.0593491563607,,,0.0708015920043202
2000-02-01,0.75236158206032,31.5667872380044,3.372,,21.6857828717412,,,0.0724827954841853
2000-02-02,0.741554592751922,30.9136178498468,3.472,,21.8102753289679,,,0.0745078814940229
2000-02-03,0.775326434340665,31.775310798543,4.2095,,22.7660561296113,,,0.0757114703489263
2000-02-04,0.810524198129821,32.6768685455775,3.928,,23.2158353299141,,,0.0774881967537838
2000-02-07,0.856003611469327,32.6952676832721,3.75,,24.0712189876328,,,0.0727120505041669
2000-02-08,0.862082542955301,33.7133533023723,4.1565,,23.9186153303872,,,0.076189084973888
2000-02-09,0.84519662216093,31.8918386706087,4.0125,,24.0712189876328,,,0.0780995434737347
2000-02-10,0.85180089340495,32.5051432604281,3.8095,,25.0229839025592,,,0.0940900811174519
2000-02-11,0.816152838394611,30.6468303532753,3.8095,,23.9708218447081,,,0.095522924992337
2000-02-14,0.869137105420505,30.5487016189042,3.722,,24.9747932739553,,,0.110806592991111
2000-02-15,0.89307758868008,30.2236501862999,3.6905,,24.6495065308792,,,0.106508061366456
2000-02-16,0.85645390269051,29.9353970290848,3.5345,,24.5973000165584,,,0.111398835126063
2000-02-17,0.862082542955301,30.5487016189042,3.45,,24.7499036738039,,,0.115353484220746
2000-02-18,0.834914972610579,29.150367154116,3.2375,,23.5170267586883,,,0.128726693719673
2000-02-22,0.85412739804773,28.7670517854789,3.178,,23.8182181874625,,,0.125135031739961
2000-02-23,0.872439241042515,28.9019787952391,3.522,,25.3241753313334,,,0.125861005969903
