date,value
2020-07-01,10000.0
2020-07-02,10118.144132860421
2020-07-06,10731.792284345149
2020-07-07,10601.031969174648
2020-07-08,10846.875782536203
2020-07-09,11183.772685074146
2020-07-10,11352.335207081449
2020-07-13,10993.960355587395
2020-07-14,11005.852748375539
2020-07-15,10808.896937352485
2020-07-16,10733.052036679865
2020-07-17,10642.511779409815
2020-07-20,11431.635674596826
2020-07-21,11186.195172019055
2020-07-22,11120.99044503471
2020-07-23,10707.378040791426
2020-07-24,10695.257862611925
2020-07-27,10955.326427308642
2020-07-28,10725.821488179738
2020-07-29,10870.17815913722
2020-07-30,10931.1434220663
2020-07-31,11182.661266859111
2020-08-03,11147.192360642888
2020-08-04,11252.704766066554
2020-08-05,11435.450903234274
2020-08-06,11499.534003553572
2020-08-07,11295.5266305783
2020-08-10,11210.377220215882
2020-08-11,10947.180050489987
2020-08-12,11403.60412835379
2020-08-13,11456.677680507308
2020-08-14,11465.254304152477
2020-08-17,11827.527217610119
2020-08-18,12204.736544502062
2020-08-19,12041.337822559883
2020-08-20,12243.642288415147
2020-08-21,12331.395901098933
2020-08-24,12366.999858484603
2020-08-25,12482.692585641264
2020-08-26,12848.689858150545
2020-08-27,12788.34844171186
2020-08-28,12848.99196035398
2020-08-31,13247.92599653187
2020-09-01,13344.513467380903
2020-09-02,13391.668902095247
2020-09-03,12589.649246115685
2020-09-04,12384.258015008765
2020-09-08,11522.786901731259
2020-09-09,12109.419960405397
2020-09-10,11822.70650197236
2020-09-11,11650.376357217634
2020-09-14,11918.409969945358
2020-09-15,12204.299730356359
2020-09-16,11892.626178527718
2020-09-17,11623.640406336084
2020-09-18,11519.036999922922
2020-09-21,11613.133880522628
2020-09-22,11972.013468016808
2020-09-23,11367.824542654189
2020-09-24,11485.415379550277
2020-09-25,11846.015059299396
2020-09-28,12137.878670245984
2020-09-29,12203.558377278465
2020-09-30,12452.971653283872
2020-10-01,12580.764091992463
2020-10-02,12067.860959567164
2020-10-05,12529.27383055403
2020-10-06,12430.98274028375
2020-10-07,12649.642723228444
2020-10-08,12580.218707081684
2020-10-09,12631.20535866949
2020-10-12,13165.486522261872
2020-10-13,13070.282395818002
2020-10-14,13028.173922652146
2020-10-15,12912.975120707953
2020-10-16,12744.73565262166
2020-10-19,12446.062442924851
2020-10-20,12557.650774782105
2020-10-21,12471.888197426106
2020-10-22,12352.065963208752
2020-10-23,12436.509460469597
2020-10-26,12195.669298942019
2020-10-27,12398.816774856004
2020-10-28,11747.195128036372
2020-10-29,12118.97709672822
2020-10-30,11568.887525452621
2020-11-02,11621.81777797472
2020-11-03,11974.737270455502
2020-11-04,12543.355217954972
2020-11-05,12927.681613130315
2020-11-06,13117.70578458744
2020-11-09,12512.69982027394
2020-11-10,12012.24951848823
2020-11-11,12502.037691853548
2020-11-12,12499.347933453373
2020-11-13,12407.496470625176
2020-11-16,12560.532778086017
2020-11-17,12561.833338280547
2020-11-18,12629.004726737312
2020-11-19,12688.52881098149
2020-11-20,12429.190769387089
2020-11-23,12412.649428392899
2020-11-24,12446.061908886913
2020-11-25,12671.596597711929
2020-11-27,12735.187286660079
2020-11-30,12853.021663119152
2020-12-01,13021.122101955138
2020-12-02,13076.922770565194
2020-12-03,13055.86829913651
2020-12-04,13132.155471868671
2020-12-07,13318.467062394235
2020-12-08,13223.830491443907
2020-12-09,12792.937552803349
2020-12-10,12923.824562311318
2020-12-11,12873.421804872378
2020-12-14,13083.553131324661
2020-12-15,13313.28055939091
2020-12-16,13221.43829844916
2020-12-17,13388.872902621892
2020-12-18,13376.157152115647
2020-12-21,13352.147550448473
2020-12-22,13430.182228993464
2020-12-23,13267.290656343177
2020-12-24,13334.572239121586
2020-12-28,13250.966266376588
2020-12-29,13353.507097712882
2020-12-30,13668.222159859783
2020-12-31,13591.74782002562
2021-01-04,13890.034083651837
2021-01-05,14052.272928299779
2021-01-06,14190.230637459652
2021-01-07,14723.361839413099
2021-01-08,14867.774001644279
2021-01-11,14648.783590662246
2021-01-12,14902.672773477141
2021-01-13,14675.646726144052
2021-01-14,14785.287823149025
2021-01-15,14429.466221634319
2021-01-19,14809.383208336312
2021-01-20,14734.381411503047
2021-01-21,14776.02006499
2021-01-22,14863.224251878548
2021-01-25,14719.313628735454
2021-01-26,14711.209841129741
2021-01-27,14211.19617975294
2021-01-28,14481.894588910263
2021-01-29,13988.748611485904
2021-02-01,14528.534255375102
2021-02-02,14517.230037122648
2021-02-03,14388.607538677756
2021-02-04,14665.990712926327
2021-02-05,14945.216518254607
2021-02-08,14962.849178652443
2021-02-09,15020.630320698618
2021-02-10,15000.29932586186
2021-02-11,14923.359850314328
2021-02-12,15258.147952948126
2021-02-16,15333.337810576148
2021-02-17,15504.445002045642
2021-02-18,15521.678318832375
2021-02-19,16320.999433550805
2021-02-22,16480.604427049326
2021-02-23,16078.628968310948
2021-02-24,16066.578582490238
2021-02-25,15314.879016168523
2021-02-26,14787.95301492879
2021-03-01,15518.226860014804
2021-03-02,15617.937754476927
2021-03-03,15606.19000710317
2021-03-04,14574.651537225025
2021-03-05,14944.974976488127
2021-03-08,14543.488879539553
2021-03-09,14895.532924837138
2021-03-10,15194.539709727545
2021-03-11,15811.450452372348
2021-03-12,15754.440217043495
2021-03-15,15536.06051608708
2021-03-16,15224.040546843455
2021-03-17,15365.243513585398
2021-03-18,14976.686877658996
2021-03-19,14931.4441312066
2021-03-22,14948.257838299474
2021-03-23,14260.209543504321
2021-03-24,14088.058647794944
2021-03-25,14325.575066214758
2021-03-26,14600.536090372229
2021-03-29,14506.903959399802
2021-03-30,14818.903687084228
2021-03-31,14656.820864313744
2021-04-01,14854.91415307979
2021-04-05,15108.259884258283
2021-04-06,15045.111339272495
2021-04-07,15012.00326940871
2021-04-08,15137.59924252097
2021-04-09,15205.27474790807
2021-04-12,15171.92431697146
2021-04-13,15060.097135799579
2021-04-14,15383.514949473763
2021-04-15,15333.202009880766
2021-04-16,15252.215554663444
2021-04-19,15241.832590503282
2021-04-20,14749.40562770933
2021-04-21,15035.45869145191
2021-04-22,14958.81522940952
2021-04-23,15195.417217428705
2021-04-26,15269.332858196402
2021-04-27,15205.047548431958
2021-04-28,14953.125261659734
2021-04-29,14921.941778753584
2021-04-30,14728.510703356951
2021-05-03,15026.70796308224
2021-05-04,14739.301434314437
2021-05-05,14947.78679974635
2021-05-06,14965.429926250317
2021-05-07,15221.228701882175
2021-05-10,15446.928787799
2021-05-11,15254.17412786624
2021-05-12,14896.294933988895
2021-05-13,14964.03177506094
2021-05-14,15188.692257670844
2021-05-17,15180.98679721312
2021-05-18,14942.436982279876
2021-05-19,14803.439430567294
2021-05-20,14774.589452825976
2021-05-21,14864.31249296381
2021-05-24,14761.738253718306
2021-05-25,14660.706096790915
2021-05-26,14919.75030973474
2021-05-27,15840.397876646934
2021-05-28,15610.805821343747
2021-06-01,15780.280317002156
2021-06-02,15736.483579828358
2021-06-03,15633.80219946765
2021-06-04,15597.10532873432
2021-06-07,15425.261454512513
2021-06-08,15440.913798991078
2021-06-09,15192.280087672947
2021-06-10,15115.317682979183
2021-06-11,15169.496623018946
2021-06-14,14923.161741498378
2021-06-15,14868.618664907504
2021-06-16,14760.7378925546
2021-06-17,14226.682127038246
2021-06-18,14027.928072407225
2021-06-21,14374.154989925115
2021-06-22,14463.487269923291
2021-06-23,14519.383069881562
2021-06-24,14668.763994136589
2021-06-25,14722.920805454562
2021-06-28,14568.880141098907
2021-06-29,14592.388336470582
2021-06-30,14758.247257302859
2021-07-01,14736.623970569537
2021-07-02,14701.43698217798
2021-07-06,14470.983741815482
2021-07-07,14392.596600077579
2021-07-08,14162.515665560999
2021-07-09,14536.384551577372
2021-07-12,14658.948947407094
2021-07-13,14554.55293102691
2021-07-14,14413.426526665033
2021-07-15,14373.947234269104
2021-07-16,14091.656878342528
2021-07-19,13708.993538041475
2021-07-20,13971.52850292423
2021-07-21,14287.21262884832
2021-07-22,14192.76937172168
2021-07-23,14219.541238888847
2021-07-26,14362.885121303683
2021-07-27,14326.377987090775
2021-07-28,14307.093378185711
2021-07-29,14436.843750648408
2021-07-30,14269.88162403701
2021-08-02,14318.72162705629
2021-08-03,14453.907271567105
2021-08-04,14266.413169727488
2021-08-05,14413.272039545232
2021-08-06,14751.3510733615
2021-08-09,14754.76594813515
2021-08-10,14978.49954494467
2021-08-11,15116.432741375367
2021-08-12,15107.808807311529
2021-08-13,14963.398142582813
2021-08-16,14885.012240148926
2021-08-17,14798.790143946975
2021-08-18,14572.921320628946
2021-08-19,14345.652431559854
2021-08-20,14383.477913389039
2021-08-23,14642.708587488854
2021-08-24,14791.826981415852
2021-08-25,14888.021205722125
2021-08-26,14788.476290532919
2021-08-27,15001.611186738675
2021-08-30,14847.467013549434
2021-08-31,14828.235387927049
2021-09-01,14764.441121347572
2021-09-02,14876.282129026866
2021-09-03,14764.061920125765
2021-09-07,14679.399726959702
2021-09-08,14565.725256443111
2021-09-09,14551.542860305311
2021-09-10,14511.103481463657
2021-09-13,14742.35985535986
2021-09-14,14555.128796905661
2021-09-15,14686.638882071624
2021-09-16,14627.040296840376
2021-09-17,14371.630253726642
2021-09-20,14104.95164771089
2021-09-21,14145.458405465404
2021-09-22,14309.406516809842
2021-09-23,14435.16514300076
2021-09-24,14526.560503497472
2021-09-27,14370.819595835199
2021-09-28,13836.335379739961
2021-09-29,13727.74326189671
2021-09-30,13689.18141470095
2021-10-01,13896.673605499189
2021-10-04,13549.123154565079
2021-10-05,13820.265851575201
2021-10-06,13970.847187040936
2021-10-07,14144.797349017315
2021-10-08,14156.28033603404
2021-10-11,14070.066853775883
2021-10-12,13876.610899953184
2021-10-13,13980.60378961565
2021-10-14,14345.720641057538
2021-10-15,14380.488386667843
2021-10-18,14558.886436307788
2021-10-19,14619.972054084394
2021-10-20,14504.45366620709
2021-10-21,14603.914179620775
2021-10-22,14311.820479910382
2021-10-25,14381.234143559035
2021-10-26,14659.082253195345
2021-10-27,15149.328921506887
2021-10-28,15182.08176084852
2021-10-29,15411.03016866305
2021-11-01,15107.822532875429
2021-11-02,15328.866366378443
2021-11-03,15455.661999463875
2021-11-04,15962.355603470976
2021-11-05,15989.814876523595
2021-11-08,16074.31673474414
2021-11-09,16070.611520065904
2021-11-10,15713.30735807031
2021-11-11,15827.26554669951
2021-11-12,16059.476814110141
2021-11-15,16016.164260609461
2021-11-16,16020.096294518096
2021-11-17,15933.305390726237
2021-11-18,16326.13758588563
2021-11-19,16413.084227623902
2021-11-22,16138.900694085827
2021-11-23,16101.837857492957
2021-11-24,16240.517143549489
2021-11-26,15817.94856339432
2021-11-29,16290.955016557418
2021-11-30,15891.429812511662
2021-12-01,15663.353239433673
2021-12-02,15856.97632360491
2021-12-03,15652.086725628753
2021-12-06,15685.388344857958
2021-12-07,16268.115934653855
2021-12-08,16224.79687756678
2021-12-09,16023.291166716353
2021-12-10,16158.24148459138
2021-12-13,15782.421911908927
2021-12-14,15473.237271925589
2021-12-15,15998.122990190594
2021-12-16,15665.27088337115
2021-12-17,15490.199140598666
2021-12-20,15519.390682914967
2021-12-21,15444.933538166597
2021-12-22,15574.211005460253
2021-12-23,15593.029807974986
2021-12-27,15957.021224147173
2021-12-28,15992.162109995495
2021-12-29,16095.519763427372
2021-12-30,16001.886082708603
2021-12-31,16113.391515908912
2022-01-03,16044.971176792318
2022-01-04,15977.175972465844
2022-01-05,15594.411482113439
2022-01-06,15579.435978386166
2022-01-07,15192.18119421717
2022-01-10,14750.426797472615
2022-01-11,14824.41234005276
2022-01-12,14925.965423736341
2022-01-13,14703.645612095412
2022-01-14,14314.531300109284
2022-01-18,13943.322331825113
2022-01-19,13968.313863779664
2022-01-20,13759.349156980677
2022-01-21,13736.670172740625
2022-01-24,13951.679505324397
2022-01-25,13661.582408553988
2022-01-26,13788.259615451081
2022-01-27,13743.267144073738
2022-01-28,14056.824999459806
2022-01-31,14372.306450349126
2022-02-01,14436.539672219531
2022-02-02,14803.341500246275
2022-02-03,14777.909671627327
2022-02-04,14692.989303539962
2022-02-07,14582.835309107804
2022-02-08,14718.28836795449
2022-02-09,14938.41520657928
2022-02-10,14614.075461086617
2022-02-11,14372.775121322818
2022-02-14,14297.135257532604
2022-02-15,14481.017655550395
2022-02-16,14425.372307399306
2022-02-17,14473.048402806298
2022-02-18,14408.681184342522
2022-02-22,14043.893557703028
2022-02-23,13840.165065419724
2022-02-24,14120.293807722212
2022-02-25,14449.082368070258
2022-02-28,14472.080572156363
2022-03-01,14575.739565311625
2022-03-02,14734.712922142071
2022-03-03,14856.300976018394
2022-03-04,14683.27031444622
2022-03-07,14738.051177605254
2022-03-08,14580.691130947334
2022-03-09,14713.44338815156
2022-03-10,14841.055118940389
2022-03-11,14801.032787281023
2022-03-14,14665.188879262876
2022-03-15,14385.730733176857
2022-03-16,14360.263724420094
2022-03-17,14675.959309084008
2022-03-18,14772.367065128767
2022-03-21,15016.718474793162
2022-03-22,14962.349457339278
2022-03-23,15065.606714363326
2022-03-24,15147.432155446502
2022-03-25,15396.13002891439
2022-03-28,15170.788708478744
2022-03-29,15007.039874411515
2022-03-30,15126.276851588867
2022-03-31,14930.685935662783
2022-04-01,15024.27670901667
2022-04-04,15004.864282067445
2022-04-05,14934.576145677484
2022-04-06,15151.21978946968
2022-04-07,15457.672127477948
2022-04-08,15722.840318865166
2022-04-11,15224.792370760291
2022-04-12,15351.525285407828
2022-04-13,15251.773426561365
2022-04-14,15389.494211024581
2022-04-18,15456.387557944425
2022-04-19,15216.89816376731
2022-04-20,15291.09468129192
2022-04-21,14894.639244010583
2022-04-22,14550.274824469081
2022-04-25,14314.370099687949
2022-04-26,14260.125253190812
2022-04-27,14346.719784034321
2022-04-28,14674.119227893854
2022-04-29,14100.30800568578
2022-05-02,14272.358666266122
2022-05-03,14533.374079931289
2022-05-04,14959.765962664489
2022-05-05,14892.357664783682
2022-05-06,15245.371971713947
2022-05-09,14388.295261762087
2022-05-10,14512.313367577472
2022-05-11,14639.303200753226
2022-05-12,14794.758175132285
2022-05-13,15002.801559979918
2022-05-16,15372.779490613855
2022-05-17,15440.18320931005
2022-05-18,15098.059640085783
2022-05-19,15029.104364922345
2022-05-20,15059.642105570016
2022-05-23,15252.325789856894
2022-05-24,15339.303313511287
2022-05-25,15598.762736001996
2022-05-26,15664.32745631059
2022-05-27,15761.931590335393
2022-05-31,15457.696703605518
2022-06-01,15588.922600797992
2022-06-02,15574.287180767795
2022-06-03,15751.885104137298
2022-06-06,15676.536220215938
2022-06-07,16190.948868014377
2022-06-08,16104.402303150093
2022-06-09,15679.97422069798
2022-06-10,15451.84146101707
2022-06-13,14776.86013946697
2022-06-14,14748.050998730614
2022-06-15,14466.034083055107
2022-06-16,13577.134136309394
2022-06-17,12480.01950114506
2022-06-21,13203.07021924383
2022-06-22,12407.534473723343
2022-06-23,11749.4090881344
2022-06-24,12129.422629714405
2022-06-27,12397.520993795495
2022-06-28,12781.637775228828
2022-06-29,12297.053842451864
2022-06-30,12072.612897533274
2022-07-01,12233.762577473832
2022-07-05,11441.986240724458
2022-07-06,11266.821234685622
2022-07-07,11656.80611782918
2022-07-08,11665.949093715113
2022-07-11,11547.54808338703
2022-07-12,11275.559579296503
2022-07-13,11231.506710433398
2022-07-14,11030.546539831283
2022-07-15,11201.474062096424
2022-07-18,11481.335117708964
2022-07-19,11930.151319788769
2022-07-20,12212.196430839782
2022-07-21,11985.24299437431
2022-07-22,11878.775208078589
2022-07-25,12387.769516946539
2022-07-26,12264.630657098516
2022-07-27,12546.87988016045
2022-07-28,12654.10556811353
2022-07-29,13163.97145103533
2022-08-01,12852.43868902191
2022-08-02,12795.097027455231
2022-08-03,12351.161701281873
2022-08-04,12130.564528377834
2022-08-05,12505.731225710095
2022-08-08,12599.693478511415
2022-08-09,12844.964661270042
2022-08-10,12908.4671553752
2022-08-11,13467.11911771521
2022-08-12,13756.563406269643
2022-08-15,13547.006039985228
2022-08-16,13459.473847473106
2022-08-17,13622.065529317586
2022-08-18,14071.52877852761
2022-08-19,14092.12442258515
2022-08-22,14098.551218162283
2022-08-23,14537.453599063727
2022-08-24,14794.902266763034
2022-08-25,14992.722285298983
2022-08-26,14982.23266037211
2022-08-29,15158.534792930523
2022-08-30,14762.122294099077
2022-08-31,14616.465010029131
2022-09-01,14361.403705884679
2022-09-02,14711.47253193714
2022-09-06,14774.551966018893
2022-09-07,15015.567066942715
2022-09-08,15105.573464911766
2022-09-09,15123.800084997423
2022-09-12,15130.192059052355
2022-09-13,14733.619183834462
2022-09-14,14830.966028007875
2022-09-15,14717.225509746593
2022-09-16,14756.688123078675
2022-09-19,14800.6364919561
2022-09-20,14704.834848519604
2022-09-21,14479.826428896078
2022-09-22,14544.327261874776
2022-09-23,14455.210000862504
2022-09-26,14302.024626173587
2022-09-27,14046.06596784604
2022-09-28,14360.913188565391
2022-09-29,14207.56812327158
2022-09-30,13984.303307278238
2022-10-03,14140.666908769837
2022-10-04,14347.183517310248
2022-10-05,14361.711296381898
2022-10-06,14177.345839201867
2022-10-07,14026.884837286476
2022-10-10,14043.993962949386
2022-10-11,14159.57799686978
2022-10-12,14156.534678992906
2022-10-13,14591.21412759288
2022-10-14,14424.216783140771
2022-10-17,14581.546239987681
2022-10-18,14732.151188806392
2022-10-19,14689.632439424338
2022-10-20,14612.125225874379
2022-10-21,14947.509069659192
2022-10-24,15136.893224871614
2022-10-25,15259.064223039262
2022-10-26,15386.989554785023
2022-10-27,15646.51257597889
2022-10-28,16049.887712681808
2022-10-31,15971.575497608606
2022-11-01,15857.063472357924
2022-11-02,15762.045653054329
2022-11-03,15922.83904992141
2022-11-04,15948.975071422696
2022-11-07,16108.701511600713
2022-11-08,16196.508960238347
2022-11-09,16095.493466965625
2022-11-10,16204.280398875424
