date,value
2020-07-01,10000.0
2020-07-02,10580.682785669635
2020-07-06,11740.343289522476
2020-07-07,11825.820954246348
2020-07-08,11765.442487325723
2020-07-09,12042.60173730552
2020-07-10,13001.122863582666
2020-07-13,12589.216340691555
2020-07-14,12742.3719654339
2020-07-15,12863.485027269227
2020-07-16,12559.457229774736
2020-07-17,12546.171072081788
2020-07-20,13625.624217880311
2020-07-21,13095.375757424124
2020-07-22,13237.66042251342
2020-07-23,12629.478825377806
2020-07-24,12042.891093930602
2020-07-27,12874.873332705005
2020-07-28,12416.868137670263
2020-07-29,12611.00192678559
2020-07-30,12566.900659970783
2020-07-31,12275.80373663736
2020-08-03,12636.361264758902
2020-08-04,12692.187404607213
2020-08-05,12726.8037611393
2020-08-06,12773.72490596528
2020-08-07,12488.878608874897
2020-08-10,12256.902325901592
2020-08-11,11897.616031161288
2020-08-12,13161.492650993783
2020-08-13,13580.360442436266
2020-08-14,13775.580952562124
2020-08-17,15062.577919787715
2020-08-18,15457.053583662764
2020-08-19,15356.425145662077
2020-08-20,16159.351980145413
2020-08-21,16523.73638654843
2020-08-24,16315.508174681156
2020-08-25,16400.532843064324
2020-08-26,17282.516339851503
2020-08-27,17781.06530550184
2020-08-28,17686.08187776404
2020-08-31,19504.61270171826
2020-09-01,18852.99761046668
2020-09-02,18061.606840975
2020-09-03,16520.64941556471
2020-09-04,16786.017176387384
2020-09-08,13822.508843074816
2020-09-09,15134.916350207583
2020-09-10,15188.795013586046
2020-09-11,15178.775723989509
2020-09-14,16742.793110061866
2020-09-15,17743.348534260942
2020-09-16,17384.144072376832
2020-09-17,16755.985724412556
2020-09-18,17282.034180362098
2020-09-21,17555.167654324185
2020-09-22,16875.27291191885
2020-09-23,15345.487269986466
2020-09-24,15620.418976385014
2020-09-25,16349.634578233054
2020-09-28,16855.74488336506
2020-09-29,16868.429001696346
2020-09-30,17251.316953624184
2020-10-01,17756.854644377992
2020-10-02,16693.366477172567
2020-10-05,17225.604399388292
2020-10-06,16936.467148527772
2020-10-07,17324.498351320774
2020-10-08,17288.085630063062
2020-10-09,17479.114333735768
2020-10-12,17964.774578425193
2020-10-13,18032.06528880272
2020-10-14,18323.394519608315
2020-10-15,17969.573706464962
2020-10-16,17662.65902224114
2020-10-19,17284.25257125317
2020-10-20,17151.22278453084
2020-10-21,17111.17016582132
2020-10-22,17106.064983232525
2020-10-23,17063.691561254884
2020-10-26,16877.15125516953
2020-10-27,17105.45494311343
2020-10-28,16278.106583012208
2020-10-29,16608.02340556043
2020-10-30,15778.172589492258
2020-11-02,16094.121758713163
2020-11-03,16851.628904161087
2020-11-04,17151.834505844028
2020-11-05,17763.34839014154
2020-11-06,17726.17470405781
2020-11-09,17115.3779278032
2020-11-10,16507.685105332155
2020-11-11,16975.983412686037
2020-11-12,16858.884290296784
2020-11-13,16718.07125468045
2020-11-16,16809.35239160392
2020-11-17,17562.530597302914
2020-11-18,18624.616556999405
2020-11-19,18940.112175776834
2020-11-20,18550.75585330755
2020-11-23,19295.153755105002
2020-11-24,20044.078468705142
2020-11-25,20611.921730173242
2020-11-27,20911.845148235545
2020-11-30,20566.782248506806
2020-12-01,21024.09591022514
2020-12-02,20708.7123567841
2020-12-03,21237.55191951976
2020-12-04,21427.97021979053
2020-12-07,22491.11134208623
2020-12-08,22592.3269832618
2020-12-09,21302.47126636682
2020-12-10,21880.203278570876
2020-12-11,21475.938350704426
2020-12-14,22299.1813723422
2020-12-15,22246.815471882586
2020-12-16,21947.997281972854
2020-12-17,22792.971505908867
2020-12-18,23673.45090735097
2020-12-21,22638.227886897173
2020-12-22,22439.447968786924
2020-12-23,22454.89567299995
2020-12-24,22840.894738405274
2020-12-28,22675.352916422187
2020-12-29,22884.690319102767
2020-12-30,23430.761162987772
2020-12-31,23255.99078940721
2021-01-04,23867.049585996738
2021-01-05,24159.75712406398
2021-01-06,24415.553191717296
2021-01-07,25287.60714985682
2021-01-08,25483.121248464875
2021-01-11,25137.41657319797
2021-01-12,25566.221123740143
2021-01-13,25113.60585351753
2021-01-14,25331.445284203717
2021-01-15,24697.0160187564
2021-01-19,25342.707233858517
2021-01-20,25178.422575970995
2021-01-21,25240.37835955736
2021-01-22,25415.6968428995
2021-01-25,25100.78991187078
2021-01-26,25087.146469882195
2021-01-27,24238.89767436772
2021-01-28,24758.51315421318
2021-01-29,23860.35940415926
2021-02-01,24769.13084251325
2021-02-02,24659.922815145514
2021-02-03,24490.136531732427
2021-02-04,25003.572649722537
2021-02-05,25562.684857844775
2021-02-08,25550.92282809371
2021-02-09,25668.515601816263
2021-02-10,25702.207636728857
2021-02-11,25504.69224280045
2021-02-12,26106.22310724089
2021-02-16,26259.7131852274
2021-02-17,26620.657395241982
2021-02-18,26662.14279741677
2021-02-19,28177.839513109557
2021-02-22,28628.353965160957
2021-02-23,27892.571873273577
2021-02-24,27776.213309587783
2021-02-25,26510.92186184084
2021-02-26,25438.817226838186
2021-03-01,26701.638984342928
2021-03-02,26974.98483179367
2021-03-03,27076.288070147217
2021-03-04,25218.49478934328
2021-03-05,25926.854858126793
