date,value
2020-07-01,10000.0
2020-07-02,10469.77476027285
2020-07-06,11432.422530924607
2020-07-07,11501.21007093257
2020-07-08,11532.704697396726
2020-07-09,11817.623636999615
2020-07-10,12558.285571211858
2020-07-13,12140.951470588892
2020-07-14,12326.466455665977
2020-07-15,12383.384230844216
2020-07-16,12126.84793621581
2020-07-17,12127.488700099762
2020-07-20,13050.352499324283
2020-07-21,12595.16322483043
2020-07-22,12725.87306436571
2020-07-23,12179.207711753048
2020-07-24,11738.292672594825
2020-07-27,12436.56254000672
2020-07-28,12032.881292951522
2020-07-29,12238.825857290743
2020-07-30,12237.057813595737
2020-07-31,12019.719406402004
2020-08-03,12378.764833041789
2020-08-04,12469.839458395887
2020-08-05,12514.343792353415
2020-08-06,12562.62001988221
2020-08-07,12308.059619121279
2020-08-10,12118.887267017797
2020-08-11,11768.175867698157
2020-08-12,12881.183444019194
2020-08-13,13207.448711137322
2020-08-14,13383.5864852557
2020-08-17,14549.100352522044
2020-08-18,14850.233431504836
2020-08-19,14742.268612586066
2020-08-20,15370.205548951966
2020-08-21,15766.168229695228
2020-08-24,15613.702086603464
2020-08-25,15689.143544761628
2020-08-26,16387.480140159016
2020-08-27,16741.63548504563
2020-08-28,16776.6397013548
2020-08-31,18242.398800739826
2020-09-01,17833.6880118613
2020-09-02,17330.742229419255
2020-09-03,15840.62823568095
2020-09-04,15958.943255602653
2020-09-08,13494.001593047391
2020-09-09,14692.06547811775
2020-09-10,14642.153041751426
2020-09-11,14598.876615953268
2020-09-14,15962.471567186316
2020-09-15,16769.74506825082
2020-09-16,16384.431580871435
2020-09-17,15879.704398680125
2020-09-18,16227.179763664768
2020-09-21,16508.730711651377
2020-09-22,16018.46943445818
2020-09-23,14710.81455448009
2020-09-24,14973.177144164878
2020-09-25,15656.376150210826
2020-09-28,16090.015118043959
2020-09-29,16013.486946228884
2020-09-30,16366.796284900289
2020-10-01,16961.292809393428
2020-10-02,15859.919951976592
2020-10-05,16292.329292548904
2020-10-06,15863.66956644492
2020-10-07,16259.19359539814
2020-10-08,16268.473387851373
2020-10-09,16555.857054809323
2020-10-12,17019.55253886389
2020-10-13,17061.577592559228
2020-10-14,17488.367839338694
2020-10-15,17103.47490265139
2020-10-16,16779.58496134103
2020-10-19,16423.350162207997
2020-10-20,16208.943265696575
2020-10-21,16206.781717702052
2020-10-22,16262.054576335888
2020-10-23,16102.31253313039
2020-10-26,16070.439742278362
2020-10-27,16253.553980511468
2020-10-28,15523.269136585313
2020-10-29,15793.320831178145
2020-10-30,14926.852596269116
2020-11-02,15294.328316725958
2020-11-03,16049.299401820212
2020-11-04,16120.163038787066
2020-11-05,16750.211169879014
2020-11-06,16526.229846703
2020-11-09,16162.020753781717
