date,value
2020-07-01,10000.000000000002
2020-07-02,10651.28521397693
2020-07-06,11899.078746159836
2020-07-07,12015.01542203241
2020-07-08,11906.558113330757
2020-07-09,12175.074611542559
2020-07-10,13256.236939754634
2020-07-13,12837.482720568158
2020-07-14,13007.401534149614
2020-07-15,13176.190237240457
2020-07-16,12837.85570711793
2020-07-17,12834.01018210375
2020-07-20,13964.081971456535
2020-07-21,13389.869691628219
2020-07-22,13561.059310154093
2020-07-23,12922.101475970998
2020-07-24,12247.251996331377
2020-07-27,13166.283841118398
2020-07-28,12673.433880938454
2020-07-29,12873.44495353234
2020-07-30,12812.064164110645
2020-07-31,12442.225254064033
2020-08-03,12856.461147807237
2020-08-04,12903.012202057978
2020-08-05,12916.875159946687
2020-08-06,12961.376686442452
2020-08-07,12663.401025486537
2020-08-10,12408.462368618775
2020-08-11,12035.55714184121
2020-08-12,13419.586934754841
2020-08-13,13894.644468057018
2020-08-14,14116.494301185638
2020-08-17,15537.377838483164
2020-08-18,15940.953000951988
2020-08-19,15849.346851183824
2020-08-20,16746.197718485262
2020-08-21,17145.712502226612
2020-08-24,16900.461431563617
2020-08-25,16982.032199017885
2020-08-26,17947.11868034916
2020-08-27,18531.729650878475
2020-08-28,18406.275840728395
2020-08-31,20442.392587031765
2020-09-01,19671.969591072873
2020-09-02,18746.250471226056
2020-09-03,17101.65580417741
2020-09-04,17441.35710551962
2020-09-08,14157.387215577384
2020-09-09,15576.252881588305
2020-09-10,15683.723071087028
2020-09-11,15698.068810415385
2020-09-14,17451.911714247355
2020-09-15,18563.14282652896
2020-09-16,18199.401021170826
2020-09-17,17513.714655775493
2020-09-18,18138.008756703923
2020-09-21,18434.74977899344
2020-09-22,17600.602943760237
2020-09-23,15929.519381570524
2020-09-24,16226.644716455909
2020-09-25,17009.055945143566
2020-09-28,17549.39802562183
2020-09-29,17590.452674214386
2020-09-30,17981.601727789704
2020-10-01,18418.002608953142
2020-10-02,17403.60042492739
2020-10-05,17991.440054133087
2020-10-06,17742.530765660835
2020-10-07,18123.772351759406
2020-10-08,18067.004393276482
2020-10-09,18226.39209467798
2020-10-12,18793.353508771463
2020-10-13,18817.947009269523
2020-10-14,19022.36618310193
2020-10-15,18705.186730217658
2020-10-16,18406.33678576046
2020-10-19,18003.14919704133
2020-10-20,17942.49040283878
2020-10-21,17878.188903917682
2020-10-22,17828.132681674848
2020-10-23,17834.406540021977
2020-10-26,17589.855404742913
2020-10-27,17843.98742160454
2020-10-28,16957.956082796605
2020-10-29,17350.631815599252
2020-10-30,16510.006152381447
2020-11-02,16774.211707449245
2020-11-03,17495.647866109608
2020-11-04,17947.364326993287
2020-11-05,18560.692903191597
2020-11-06,18613.292192608038
2020-11-09,17900.109491435593
2020-11-10,17225.298905881216
2020-11-11,17776.105438858387
2020-11-12,17686.63297615982
2020-11-13,17539.939541821426
2020-11-16,17670.227725544715
2020-11-17,18250.032795489435
2020-11-18,19095.61565188312
2020-11-19,19359.402173478476
2020-11-20,18957.40164834336
2020-11-23,19533.502309431136
2020-11-24,20114.52633491726
2020-11-25,20640.403955482354
2020-11-27,20894.217578487143
2020-11-30,20670.364329660253
2020-12-01,21075.96530593306
2020-12-02,20857.121408760162
2020-12-03,21252.885266967147
2020-12-04,21433.51341821409
2020-12-07,22318.639925753363
2020-12-08,22353.336291743693
2020-12-09,21195.918814076198
2020-12-10,21686.82476257799
2020-12-11,21359.96867761216
2020-12-14,22080.582734632204
2020-12-15,22112.866424984968
2020-12-16,21845.930662350147
2020-12-17,22558.852362576123
2020-12-18,23234.643597542796
2020-12-21,22426.98182656002
2020-12-22,22293.187768424406
2020-12-23,22239.79118508993
2020-12-24,22559.099256635825
2020-12-28,22517.608311368167
2020-12-29,22594.407719599465
2020-12-30,23223.64162254629
2020-12-31,23313.891440092142
2021-01-04,23680.70901795022
2021-01-05,23900.064724003987
2021-01-06,24210.4489275055
2021-01-07,25487.10978438992
2021-01-08,26326.607054506992
2021-01-11,25399.784434404435
2021-01-12,26060.500196624234
2021-01-13,25952.473717373185
2021-01-14,25946.685808332048
2021-01-15,25388.687189200893
2021-01-19,26038.45620659957
2021-01-20,26070.916537646706
2021-01-21,26097.674523442474
2021-01-22,26166.253584028018
2021-01-25,26421.978408305396
2021-01-26,26430.636611216793
2021-01-27,25616.92357645459
2021-01-28,25595.366737289165
2021-01-29,24728.693966769264
2021-02-01,25841.847080873184
2021-02-02,26302.38673139536
2021-02-03,25875.760975054396
2021-02-04,26105.120827742736
2021-02-05,26303.723246759648
2021-02-08,26512.110829068784
2021-02-09,26426.511922019028
2021-02-10,25872.880598736898
2021-02-11,25975.64946107841
2021-02-12,26377.9327799583
2021-02-16,26250.791567253218
2021-02-17,26337.54425232995
2021-02-18,26241.973081728727
2021-02-19,26888.049094697697
2021-02-22,26139.36236564348
2021-02-23,25598.06473722776
2021-02-24,26157.071130802193
2021-02-25,24645.87196163492
2021-02-26,24286.731131374054
2021-03-01,25553.198386004788
2021-03-02,25185.82986298334
2021-03-03,24625.41027246897
2021-03-04,23242.237004289236
2021-03-05,23352.546846109835
2021-03-08,22338.15488125175
2021-03-09,24069.612333828132
2021-03-10,24184.276020554982
2021-03-11,25196.555713935617
2021-03-12,25059.60057265211
2021-03-15,25250.627351321305
2021-03-16,24740.598312191734
2021-03-17,25184.494166173397
2021-03-18,24132.224442741295
2021-03-19,24264.16343410663
2021-03-22,24451.955920706947
2021-03-23,23693.348824668985
2021-03-24,23405.170787070903
2021-03-25,23944.74605429429
2021-03-26,24199.731985599847
2021-03-29,24101.588978119504
2021-03-30,24703.067748744223
2021-03-31,24391.96032476094
2021-04-01,24658.803898682643
2021-04-05,24947.95053667686
2021-04-06,24876.128544232964
2021-04-07,24847.15033910741
2021-04-08,25004.657429471015
2021-04-09,25214.111198386257
2021-04-12,25196.764062103874
2021-04-13,24936.199214995475
2021-04-14,25416.225019552017
2021-04-15,25260.080085642017
2021-04-16,25059.233945560405
2021-04-19,25147.999259443466
2021-04-20,24377.802582599168
2021-04-21,24872.924197989098
2021-04-22,24884.294999028847
2021-04-23,25213.34058016326
2021-04-26,25298.230058445923
2021-04-27,25198.048521553268
2021-04-28,24753.08867277672
2021-04-29,24790.532483217787
2021-04-30,24570.345208094026
2021-05-03,25106.93809480411
2021-05-04,24585.064673301807
2021-05-05,24835.84244181868
2021-05-06,24906.17564503097
2021-05-07,25153.321340138467
2021-05-10,25285.041202533474
2021-05-11,24822.014177303237
2021-05-12,24307.93945615413
2021-05-13,24553.502287844483
2021-05-14,25075.101866664794
2021-05-17,24939.38867262578
2021-05-18,24588.99700154193
2021-05-19,24637.468019260887
2021-05-20,24599.86090666278
2021-05-21,24894.41499446865
2021-05-24,24808.53410714823
2021-05-25,24666.61187223372
2021-05-26,25135.16999473407
2021-05-27,26696.503270223373
2021-05-28,26263.30280473653
2021-06-01,26519.487719605124
2021-06-02,26435.92651982821
2021-06-03,26436.887709845738
2021-06-04,26282.45522381321
2021-06-07,26129.429514018957
2021-06-08,26096.60037551801
2021-06-09,25775.782336477365
2021-06-10,25554.73646002268
2021-06-11,25681.311500404947
2021-06-14,25274.8491981623
2021-06-15,25328.369896665397
2021-06-16,25160.70253678259
2021-06-17,24337.714885471793
2021-06-18,23891.90140503948
2021-06-21,24403.95018147922
2021-06-22,24410.35808694575
2021-06-23,24529.401512011726
2021-06-24,24921.35804946358
2021-06-25,24993.06443958276
2021-06-28,24932.23907354247
2021-06-29,25106.65628549451
2021-06-30,25483.70702825596
2021-07-01,25321.538947671266
2021-07-02,25255.631208965082
2021-07-06,24989.171901141075
2021-07-07,24921.218067766542
2021-07-08,24376.173412370477
2021-07-09,25155.22581039827
2021-07-12,25565.03742936736
2021-07-13,25323.75232758591
2021-07-14,25213.676750300237
2021-07-15,25191.737535126766
2021-07-16,24722.394645861896
2021-07-19,24094.265233118193
2021-07-20,24683.4995747323
2021-07-21,25191.662248107357
2021-07-22,25095.291202205204
2021-07-23,25177.93584584024
2021-07-26,25287.635861139996
2021-07-27,25278.25802647296
2021-07-28,25188.23080481928
2021-07-29,25394.103353185772
2021-07-30,25217.921074339647
2021-08-02,25373.283842363275
2021-08-03,25571.17189913242
2021-08-04,25365.90729964908
2021-08-05,25712.737000412257
2021-08-06,26501.423682970795
2021-08-09,26629.21602664494
